,fips,Week_end,Prediction_1w,Prediction_2w,Prediction_3w,Prediction_4w
0,1,2024-01-27,2.2107367515563965,2.367225170135498,2.219754457473755,2.0432381629943848
1,2,2024-01-27,1.2589861154556274,1.9220912456512451,2.3384196758270264,3.048844814300537
2,4,2024-01-27,8.106255531311035,7.710174083709717,6.99405574798584,6.409971237182617
3,5,2024-01-27,8.46356201171875,8.35651969909668,7.871087074279785,6.9702887535095215
4,6,2024-01-27,1.2708295583724976,1.6151089668273926,1.6235946416854858,1.6513053178787231
5,8,2024-01-27,2.483250379562378,3.0107977390289307,3.7319772243499756,4.368025779724121
6,9,2024-01-27,3.6287832260131836,3.4042727947235107,3.1888554096221924,2.9913649559020996
7,10,2024-01-27,1.6386417150497437,2.457437038421631,3.2344579696655273,3.4385156631469727
8,12,2024-01-27,3.455281972885132,3.1040515899658203,2.9855337142944336,2.754135847091675
9,13,2024-01-27,2.400862455368042,2.5374889373779297,2.2348897457122803,2.2051892280578613
10,15,2024-01-27,2.3985960483551025,2.7865235805511475,3.056936502456665,3.02321195602417
11,16,2024-01-27,2.2158420085906982,2.1697146892547607,2.069655179977417,1.8194541931152344
12,17,2024-01-27,1.5592858791351318,1.3637124300003052,1.5981014966964722,1.4257959127426147
13,18,2024-01-27,3.8964359760284424,5.330904960632324,5.106889724731445,5.4673261642456055
14,19,2024-01-27,1.7750695943832397,2.7335500717163086,2.5263092517852783,1.6055768728256226
15,20,2024-01-27,2.3511264324188232,2.9260783195495605,3.0105175971984863,3.0087926387786865
16,21,2024-01-27,3.869222640991211,5.299350738525391,6.265722274780273,6.7617998123168945
17,22,2024-01-27,2.159712553024292,2.2635743618011475,2.453824281692505,2.4618799686431885
18,23,2024-01-27,2.5541398525238037,2.401458740234375,2.5565381050109863,2.4183530807495117
19,24,2024-01-27,2.310298204421997,3.3237969875335693,3.802590847015381,3.5331621170043945
20,25,2024-01-27,5.169811725616455,4.668554306030273,4.298903465270996,4.290137767791748
21,26,2024-01-27,4.000751972198486,4.932797908782959,4.867946147918701,4.755669593811035
22,27,2024-01-27,2.5433151721954346,3.0528335571289062,3.571978807449341,3.644118547439575
23,28,2024-01-27,4.624242305755615,3.74167537689209,3.7269046306610107,3.7435812950134277
24,29,2024-01-27,4.15105676651001,5.1141276359558105,5.508274078369141,5.330084800720215
25,30,2024-01-27,5.939767360687256,5.714509963989258,5.532756805419922,5.698740482330322
26,31,2024-01-27,2.0962040424346924,2.7463996410369873,3.192760467529297,3.0362305641174316
27,32,2024-01-27,1.2066094875335693,1.1854829788208008,1.3055896759033203,1.219950795173645
28,33,2024-01-27,1.0863173007965088,0.9836278557777405,1.0072764158248901,0.7703053951263428
29,34,2024-01-27,3.2132575511932373,3.2313103675842285,3.007228136062622,2.9221737384796143
30,35,2024-01-27,4.179141998291016,4.866898059844971,4.877037525177002,4.970932483673096
31,36,2024-01-27,3.699531078338623,3.499892473220825,3.554643154144287,3.5063393115997314
32,37,2024-01-27,1.7979626655578613,1.7616885900497437,1.8887916803359985,1.9654606580734253
33,38,2024-01-27,6.407113075256348,5.860600471496582,5.82874059677124,5.1721625328063965
34,39,2024-01-27,4.26659631729126,4.72768497467041,5.361119747161865,5.5507612228393555
35,40,2024-01-27,9.767813682556152,10.714207649230957,10.953778266906738,10.588610649108887
36,41,2024-01-27,2.8014285564422607,3.966947555541992,5.07804012298584,5.755198001861572
37,42,2024-01-27,2.3637475967407227,3.1917219161987305,3.659005641937256,3.763852596282959
38,44,2024-01-27,2.0614936351776123,2.0830624103546143,2.3701212406158447,2.5371742248535156
39,45,2024-01-27,4.044454097747803,3.807858467102051,3.503208637237549,3.6201493740081787
40,46,2024-01-27,2.2454006671905518,2.738050937652588,2.7868714332580566,2.701712131500244
41,47,2024-01-27,4.225061893463135,3.9142885208129883,3.9769513607025146,4.033773422241211
42,48,2024-01-27,6.007924556732178,7.281466007232666,7.040850639343262,7.274801254272461
43,49,2024-01-27,0.7233294248580933,0.6522093415260315,0.555332601070404,0.48118239641189575
44,50,2024-01-27,3.580681562423706,2.9938502311706543,3.2541987895965576,2.4555208683013916
45,51,2024-01-27,3.747243881225586,3.8199644088745117,4.067664623260498,4.311375617980957
46,53,2024-01-27,1.856116771697998,2.515122175216675,3.195425033569336,3.530703544616699
47,54,2024-01-27,7.147287845611572,7.122971057891846,5.468688011169434,4.419440269470215
48,55,2024-01-27,1.2945083379745483,1.3403183221817017,1.0149718523025513,0.931083083152771
49,56,2024-01-27,3.928748846054077,3.6778905391693115,3.689579486846924,3.848947525024414
