,fips,Week_end,Prediction_1w,Prediction_2w,Prediction_3w,Prediction_4w
0,1,2024-01-27,2.867856740951538,2.489995241165161,1.5403287410736084,0.8995839357376099
1,2,2024-01-27,0.8941075801849365,1.10296630859375,1.121340274810791,1.305051326751709
2,4,2024-01-27,5.608912467956543,5.003312587738037,3.5040371417999268,3.072535514831543
3,5,2024-01-27,3.845191478729248,3.2383100986480713,2.7306418418884277,1.7717586755752563
4,6,2024-01-27,1.4664363861083984,1.1839600801467896,0.8503247499465942,0.8916643261909485
5,8,2024-01-27,1.9837325811386108,1.9776273965835571,1.6237678527832031,1.5262806415557861
6,9,2024-01-27,2.6303603649139404,1.9913229942321777,1.505879282951355,0.9718600511550903
7,10,2024-01-27,1.6609612703323364,1.4838463068008423,1.3287467956542969,1.1926170587539673
8,12,2024-01-27,2.918773651123047,2.5252485275268555,1.8086429834365845,1.4013557434082031
9,13,2024-01-27,1.6068642139434814,1.3637124300003052,1.1534442901611328,0.7672037482261658
10,15,2024-01-27,2.001941680908203,1.8543798923492432,1.24126136302948,1.1653822660446167
11,16,2024-01-27,1.8518551588058472,1.7401255369186401,1.362709403038025,1.056555986404419
12,17,2024-01-27,1.3695651292800903,1.353143334388733,1.1857677698135376,0.9779350161552429
13,18,2024-01-27,2.8902809619903564,3.035670280456543,2.4605588912963867,1.839474081993103
14,19,2024-01-27,1.0359487533569336,1.4372930526733398,1.70026433467865,1.2849676609039307
15,20,2024-01-27,1.8391170501708984,1.4776703119277954,1.2605129480361938,1.1325137615203857
16,21,2024-01-27,2.9317831993103027,2.658521890640259,2.3509867191314697,1.9524950981140137
17,22,2024-01-27,1.0558842420578003,0.7915685176849365,0.868383526802063,0.6246991157531738
18,23,2024-01-27,1.3774487972259521,1.73727285861969,1.4649643898010254,1.1824843883514404
19,24,2024-01-27,2.0179591178894043,1.9429948329925537,1.767701268196106,1.511407494544983
20,25,2024-01-27,2.0004160404205322,1.7223056554794312,1.2500370740890503,1.1998271942138672
21,26,2024-01-27,1.8268914222717285,1.7367924451828003,1.6014693975448608,1.4533696174621582
22,27,2024-01-27,1.8519357442855835,1.9109914302825928,1.9215742349624634,1.6605201959609985
23,28,2024-01-27,2.6437411308288574,1.7093055248260498,1.1121143102645874,1.1428471803665161
24,29,2024-01-27,2.8356850147247314,2.3124823570251465,1.8133498430252075,1.5580179691314697
25,30,2024-01-27,4.794403076171875,4.431155681610107,2.6341679096221924,2.340001106262207
26,31,2024-01-27,1.2264846563339233,1.2228652238845825,1.3734523057937622,1.22566819190979
27,32,2024-01-27,1.3881622552871704,1.1883246898651123,1.0938619375228882,0.9302467107772827
28,33,2024-01-27,0.9142452478408813,0.7647828459739685,0.7034643292427063,0.7821958661079407
29,34,2024-01-27,2.270508050918579,1.5830124616622925,1.090924620628357,0.9025838971138
30,35,2024-01-27,2.0229172706604004,1.5384821891784668,1.5477133989334106,1.4858075380325317
31,36,2024-01-27,2.0043087005615234,1.9539037942886353,1.8504419326782227,1.6813199520111084
32,37,2024-01-27,1.8743385076522827,1.4379554986953735,1.1606731414794922,1.0882512331008911
33,38,2024-01-27,4.714813709259033,4.546036720275879,4.285769462585449,3.772061347961426
34,39,2024-01-27,2.6601052284240723,2.4846231937408447,2.5465924739837646,1.698110580444336
35,40,2024-01-27,6.108464241027832,5.734975814819336,5.476932048797607,4.4138102531433105
36,41,2024-01-27,1.4570634365081787,1.3082350492477417,1.159834861755371,1.0896728038787842
37,42,2024-01-27,1.9341435432434082,1.4570701122283936,1.3344358205795288,1.066230297088623
38,44,2024-01-27,2.058170795440674,1.7747262716293335,1.319907546043396,0.9925707578659058
39,45,2024-01-27,3.8673789501190186,2.9450063705444336,2.7027204036712646,1.5987653732299805
40,46,2024-01-27,1.688368797302246,1.4393352270126343,1.2570480108261108,1.068564534187317
41,47,2024-01-27,2.388094663619995,2.1690895557403564,1.4612749814987183,1.1175954341888428
42,48,2024-01-27,5.156867980957031,4.798430442810059,3.2994353771209717,2.629403591156006
43,49,2024-01-27,0.620246410369873,0.764403223991394,0.6582287549972534,0.6120994687080383
44,50,2024-01-27,1.7011927366256714,1.9097092151641846,1.4125951528549194,0.9400633573532104
45,51,2024-01-27,1.3023803234100342,1.2930004596710205,1.1580015420913696,0.9468938112258911
46,53,2024-01-27,1.408547043800354,1.2073601484298706,1.087304949760437,0.8330807685852051
47,54,2024-01-27,3.3230888843536377,2.771740674972534,2.1015079021453857,1.7622209787368774
48,55,2024-01-27,1.4083095788955688,1.617505431175232,1.3799299001693726,1.308423638343811
49,56,2024-01-27,2.641047239303589,2.027862548828125,1.4932764768600464,1.4325357675552368
